"city","admin","population","lng","lat"
"Kimmirut","Nunavut",385,-69.883316,62.850026
"Gjoa Haven","Nunavut",1109,-95.916662,68.63329
"Grise Fiord","Nunavut",23,-82.949986,76.441651
"Alert","Nunavut",125,-62.249984,82.483323
"Ennadai","Nunavut",0,-100.883336,61.133283
"Rankin Inlet","Nunavut",2472,-92.09532,62.816668
"Fort Resolution","Northwest Territories",448,-113.682994,61.166588
"Fort Simpson","Northwest Territories",283,-121.333276,61.849983
"Inuvik","Northwest Territories",3022,-133.699989,68.349974
"Tuktoyaktuk","Northwest Territories",929,-133.049201,69.454775
"Watson Lake","Yukon",802,-128.80003,60.116626
"Lansdowne House","Ontario",120,-87.883329,52.216644
"Moosonee","Ontario",1725,-80.657981,51.280602
"Sudbury","Ontario",157857,-80.966645,46.49999
"Kenora","Ontario",10852,-94.466648,49.76669
"Gaspé","Québec",3677,-64.493361,48.837315
"Mingan","Québec",588,-64.017265,50.301759
"Dolbeau","Québec",13337,-72.233328,48.86659
"Val d'Or","Québec",20625,-77.766633,48.116635
"Ivugivik","Québec",156,-77.899984,62.416641
"Inukjuak","Québec",1597,-78.135991,58.470009
"Chicoutimi","Québec",53940,-71.066706,48.433309
"Moncton","New Brunswick",90635,-64.766678,46.083349
"Fredericton","New Brunswick",52337,-66.633308,45.949998
"Bathurst","New Brunswick",6111,-65.649983,47.599974
"Yarmouth","Nova Scotia",7500,-66.112581,43.830795
"Gander","Newfoundland and Labrador",3345,-54.549988,48.949995
"Cartwright","Newfoundland and Labrador",505,-57.012141,53.701407
"Rigolet","Newfoundland and Labrador",124,-58.447322,54.176601
"Port Burwell","Newfoundland and Labrador",2762,-64.741098,60.266462
"Thompson","Manitoba",13727,-97.866621,55.749942
"Brandon","Manitoba",28418,-99.949982,49.833275
"Fort Smith","Alberta",518,-111.883336,60.000019
"Fort McMurray","Alberta",21863,-111.383315,56.733319
"Peace River","Alberta",5340,-117.283291,56.233323
"Fort St. John","British Columbia",18776,-120.833281,56.249989
"Iqaluit","Nunavut",6124,-68.500192,63.750459
"Cambridge Bay","Nunavut",1477,-105.033315,69.116956
"Kugluktuk","Nunavut",1302,-115.12535,67.798663
"Chesterfield Inlet","Nunavut",374,-90.700082,63.33829
"Arviat","Nunavut",1868,-94.058607,61.108592
"Taloyoak","Nunavut",774,-93.53332,69.533313
"Igloolik","Nunavut",1612,-81.793592,69.256535
"Dawson City","Yukon",1319,-139.416669,64.066644
"Timmins","Ontario",34974,-81.333315,48.466588
"North Bay","Ontario",50170,-79.449993,46.300002
"Kuujjuarapik","Québec",1243,-77.765832,55.281495
"Kuujjuaq","Québec",1273,-68.399996,58.100005
"Sydney","Nova Scotia",37538,-60.179981,46.066115
"Labrador City","Newfoundland and Labrador",10313,-66.915875,52.941431
"Winnipeg","Manitoba",632063,-97.165992,49.882988
"Churchill","Manitoba",1000,-94.165994,58.765985
"Regina","Saskatchewan",176183,-104.61701,50.450033
"Saskatoon","Saskatchewan",198958,-106.669985,52.170031
"Calgary","Alberta",1110000,-114.081944,51.084938
"Prince Rupert","British Columbia",14708,-130.329988,54.31667
"Victoria","British Columbia",289625,-123.350001,48.433283
"Arctic Bay","Nunavut",604,-85.166621,73.033306
"Resolute","Nunavut",250,-94.900006,74.683334
"Naujaat","Nunavut",1000,-86.282935,66.529467
"Yellowknife","Northwest Territories",19234,-114.396981,62.442014
"Fort Good Hope","Northwest Territories",597,-128.633322,66.266613
"Whitehorse","Yukon",23276,-135.049984,60.716719
"Ottawa","Ontario",1145000,-75.701961,45.418643
"Fort Severn","Ontario",125,-87.649984,55.983339
"Thunder Bay","Ontario",99334,-89.274975,48.44615
"Québec","Québec",624177,-71.24561,46.839969
"Halifax","Nova Scotia",359111,-63.600005,44.650025
"St. John's","Newfoundland and Labrador",131469,-52.681007,47.584988
"Nain","Newfoundland and Labrador",1151,-61.686045,56.547352
"Charlottetown","Prince Edward Island",42402,-63.131325,46.249282
"Edmonton","Alberta",1058000,-113.501928,53.551971
"Montréal","Québec",3678000,-73.585243,45.501945
"Vancouver","British Columbia",2313328,-123.12359,49.275362
"Toronto","Ontario",5213000,-79.421967,43.701926
